Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName
2020-03-31 22:00:00+00:00,2020-04-01,1900-01-01 00:00:00,1900-01-01 01:00:00,Solar,0.0,92,Wednesday,April
2020-03-31 23:00:00+00:00,2020-04-01,1900-01-01 01:00:00,1900-01-01 02:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 00:00:00+00:00,2020-04-01,1900-01-01 02:00:00,1900-01-01 03:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 01:00:00+00:00,2020-04-01,1900-01-01 03:00:00,1900-01-01 04:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 02:00:00+00:00,2020-04-01,1900-01-01 04:00:00,1900-01-01 05:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 03:00:00+00:00,2020-04-01,1900-01-01 05:00:00,1900-01-01 06:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 04:00:00+00:00,2020-04-01,1900-01-01 06:00:00,1900-01-01 07:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 05:00:00+00:00,2020-04-01,1900-01-01 07:00:00,1900-01-01 08:00:00,Solar,14.0,92,Wednesday,April
2020-04-01 06:00:00+00:00,2020-04-01,1900-01-01 08:00:00,1900-01-01 09:00:00,Solar,306.0,92,Wednesday,April
2020-04-01 07:00:00+00:00,2020-04-01,1900-01-01 09:00:00,1900-01-01 10:00:00,Solar,1069.0,92,Wednesday,April
2020-04-01 08:00:00+00:00,2020-04-01,1900-01-01 10:00:00,1900-01-01 11:00:00,Solar,1931.0,92,Wednesday,April
2020-04-01 09:00:00+00:00,2020-04-01,1900-01-01 11:00:00,1900-01-01 12:00:00,Solar,2700.0,92,Wednesday,April
2020-04-01 10:00:00+00:00,2020-04-01,1900-01-01 12:00:00,1900-01-01 13:00:00,Solar,3093.0,92,Wednesday,April
2020-04-01 11:00:00+00:00,2020-04-01,1900-01-01 13:00:00,1900-01-01 14:00:00,Solar,3040.0,92,Wednesday,April
2020-04-01 12:00:00+00:00,2020-04-01,1900-01-01 14:00:00,1900-01-01 15:00:00,Solar,2866.0,92,Wednesday,April
2020-04-01 13:00:00+00:00,2020-04-01,1900-01-01 15:00:00,1900-01-01 16:00:00,Solar,2689.0,92,Wednesday,April
2020-04-01 14:00:00+00:00,2020-04-01,1900-01-01 16:00:00,1900-01-01 17:00:00,Solar,2315.0,92,Wednesday,April
2020-04-01 15:00:00+00:00,2020-04-01,1900-01-01 17:00:00,1900-01-01 18:00:00,Solar,1766.0,92,Wednesday,April
2020-04-01 16:00:00+00:00,2020-04-01,1900-01-01 18:00:00,1900-01-01 19:00:00,Solar,1033.0,92,Wednesday,April
2020-04-01 17:00:00+00:00,2020-04-01,1900-01-01 19:00:00,1900-01-01 20:00:00,Solar,304.0,92,Wednesday,April
2020-04-01 18:00:00+00:00,2020-04-01,1900-01-01 20:00:00,1900-01-01 21:00:00,Solar,14.0,92,Wednesday,April
2020-04-01 19:00:00+00:00,2020-04-01,1900-01-01 21:00:00,1900-01-01 22:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 20:00:00+00:00,2020-04-01,1900-01-01 22:00:00,1900-01-01 23:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 21:00:00+00:00,2020-04-01,1900-01-01 23:00:00,1900-01-01 00:00:00,Solar,0.0,92,Wednesday,April
2020-04-01 22:00:00+00:00,2020-04-02,1900-01-01 00:00:00,1900-01-01 01:00:00,Solar,0.0,93,Thursday,April
2020-04-01 23:00:00+00:00,2020-04-02,1900-01-01 01:00:00,1900-01-01 02:00:00,Solar,0.0,93,Thursday,April
2020-04-02 00:00:00+00:00,2020-04-02,1900-01-01 02:00:00,1900-01-01 03:00:00,Solar,0.0,93,Thursday,April
2020-04-02 01:00:00+00:00,2020-04-02,1900-01-01 03:00:00,1900-01-01 04:00:00,Solar,0.0,93,Thursday,April
2020-04-02 02:00:00+00:00,2020-04-02,1900-01-01 04:00:00,1900-01-01 05:00:00,Solar,0.0,93,Thursday,April
2020-04-02 03:00:00+00:00,2020-04-02,1900-01-01 05:00:00,1900-01-01 06:00:00,Solar,0.0,93,Thursday,April
2020-04-02 04:00:00+00:00,2020-04-02,1900-01-01 06:00:00,1900-01-01 07:00:00,Solar,0.0,93,Thursday,April
2020-04-02 05:00:00+00:00,2020-04-02,1900-01-01 07:00:00,1900-01-01 08:00:00,Solar,17.0,93,Thursday,April
2020-04-02 06:00:00+00:00,2020-04-02,1900-01-01 08:00:00,1900-01-01 09:00:00,Solar,330.0,93,Thursday,April
2020-04-02 07:00:00+00:00,2020-04-02,1900-01-01 09:00:00,1900-01-01 10:00:00,Solar,1105.0,93,Thursday,April
2020-04-02 08:00:00+00:00,2020-04-02,1900-01-01 10:00:00,1900-01-01 11:00:00,Solar,1999.0,93,Thursday,April
2020-04-02 09:00:00+00:00,2020-04-02,1900-01-01 11:00:00,1900-01-01 12:00:00,Solar,2685.0,93,Thursday,April
2020-04-02 10:00:00+00:00,2020-04-02,1900-01-01 12:00:00,1900-01-01 13:00:00,Solar,2993.0,93,Thursday,April
