Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName
2020-03-31 22:00:00+00:00,2020-04-01,1900-01-01 00:00:00,1900-01-01 01:00:00,Wind,6759.0,92,Wednesday,April
2020-03-31 23:00:00+00:00,2020-04-01,1900-01-01 01:00:00,1900-01-01 02:00:00,Wind,6293.0,92,Wednesday,April
2020-04-01 00:00:00+00:00,2020-04-01,1900-01-01 02:00:00,1900-01-01 03:00:00,Wind,5916.0,92,Wednesday,April
2020-04-01 01:00:00+00:00,2020-04-01,1900-01-01 03:00:00,1900-01-01 04:00:00,Wind,5679.0,92,Wednesday,April
2020-04-01 02:00:00+00:00,2020-04-01,1900-01-01 04:00:00,1900-01-01 05:00:00,Wind,5508.0,92,Wednesday,April
2020-04-01 03:00:00+00:00,2020-04-01,1900-01-01 05:00:00,1900-01-01 06:00:00,Wind,5232.0,92,Wednesday,April
2020-04-01 04:00:00+00:00,2020-04-01,1900-01-01 06:00:00,1900-01-01 07:00:00,Wind,4764.0,92,Wednesday,April
2020-04-01 05:00:00+00:00,2020-04-01,1900-01-01 07:00:00,1900-01-01 08:00:00,Wind,4481.0,92,Wednesday,April
2020-04-01 06:00:00+00:00,2020-04-01,1900-01-01 08:00:00,1900-01-01 09:00:00,Wind,3884.0,92,Wednesday,April
2020-04-01 07:00:00+00:00,2020-04-01,1900-01-01 09:00:00,1900-01-01 10:00:00,Wind,2520.0,92,Wednesday,April
2020-04-01 08:00:00+00:00,2020-04-01,1900-01-01 10:00:00,1900-01-01 11:00:00,Wind,1894.0,92,Wednesday,April
2020-04-01 09:00:00+00:00,2020-04-01,1900-01-01 11:00:00,1900-01-01 12:00:00,Wind,2134.0,92,Wednesday,April
2020-04-01 10:00:00+00:00,2020-04-01,1900-01-01 12:00:00,1900-01-01 13:00:00,Wind,2346.0,92,Wednesday,April
2020-04-01 11:00:00+00:00,2020-04-01,1900-01-01 13:00:00,1900-01-01 14:00:00,Wind,2292.0,92,Wednesday,April
2020-04-01 12:00:00+00:00,2020-04-01,1900-01-01 14:00:00,1900-01-01 15:00:00,Wind,2095.0,92,Wednesday,April
2020-04-01 13:00:00+00:00,2020-04-01,1900-01-01 15:00:00,1900-01-01 16:00:00,Wind,2081.0,92,Wednesday,April
2020-04-01 14:00:00+00:00,2020-04-01,1900-01-01 16:00:00,1900-01-01 17:00:00,Wind,2081.0,92,Wednesday,April
2020-04-01 15:00:00+00:00,2020-04-01,1900-01-01 17:00:00,1900-01-01 18:00:00,Wind,2116.0,92,Wednesday,April
2020-04-01 16:00:00+00:00,2020-04-01,1900-01-01 18:00:00,1900-01-01 19:00:00,Wind,2255.0,92,Wednesday,April
2020-04-01 17:00:00+00:00,2020-04-01,1900-01-01 19:00:00,1900-01-01 20:00:00,Wind,2530.0,92,Wednesday,April
2020-04-01 18:00:00+00:00,2020-04-01,1900-01-01 20:00:00,1900-01-01 21:00:00,Wind,2945.0,92,Wednesday,April
